"D" "I" "G"
"4764" "d1" "i0" "g2"
"4765" "d1" "i0" "g3"
"4766" "d1" "i1" "g1"
"4767" "d0" "i0" "g2"
"4768" "d0" "i0" "g2"
"4769" "d1" "i0" "g3"
"4770" "d1" "i1" "g1"
"4771" "d0" "i1" "g1"
"4772" "d0" "i1" "g1"
"4773" "d1" "i0" "g2"
"4774" "d0" "i0" "g1"
"4775" "d1" "i1" "g1"
"4776" "d0" "i0" "g2"
"4777" "d1" "i0" "g2"
"4778" "d1" "i0" "g3"
"4779" "d1" "i0" "g2"
"4780" "d1" "i1" "g3"
"4781" "d0" "i0" "g3"
"4782" "d0" "i0" "g3"
"4783" "d0" "i0" "g2"
"4784" "d1" "i1" "g1"
"4785" "d0" "i0" "g2"
"4786" "d1" "i0" "g3"
"4787" "d1" "i0" "g3"
"4788" "d0" "i0" "g1"
"4789" "d0" "i0" "g3"
"4790" "d0" "i1" "g1"
"4791" "d1" "i0" "g3"
"4792" "d1" "i1" "g2"
"4793" "d0" "i0" "g2"
"4794" "d1" "i0" "g3"
"4795" "d1" "i0" "g3"
"4796" "d1" "i1" "g3"
"4797" "d0" "i0" "g1"
"4798" "d0" "i1" "g1"
"4799" "d0" "i0" "g3"
"4800" "d0" "i0" "g2"
"4801" "d0" "i0" "g3"
"4802" "d0" "i0" "g3"
"4803" "d1" "i0" "g2"
"4804" "d1" "i0" "g3"
"4805" "d0" "i0" "g3"
"4806" "d1" "i0" "g3"
"4807" "d0" "i0" "g1"
"4808" "d1" "i0" "g3"
"4809" "d0" "i0" "g2"
"4810" "d0" "i0" "g1"
"4811" "d1" "i1" "g2"
"4812" "d0" "i1" "g1"
"4813" "d0" "i0" "g2"
"4814" "d0" "i1" "g1"
"4815" "d0" "i0" "g3"
"4816" "d0" "i0" "g2"
"4817" "d1" "i0" "g3"
"4818" "d0" "i1" "g1"
"4819" "d0" "i0" "g3"
"4820" "d0" "i0" "g2"
"4821" "d0" "i0" "g3"
"4822" "d0" "i1" "g1"
"4823" "d0" "i0" "g2"
"4824" "d1" "i0" "g2"
"4825" "d0" "i1" "g1"
"4826" "d0" "i0" "g3"
"4827" "d1" "i0" "g3"
"4828" "d0" "i0" "g3"
"4829" "d1" "i0" "g2"
"4830" "d0" "i0" "g2"
"4831" "d1" "i1" "g1"
"4832" "d0" "i0" "g1"
"4833" "d0" "i1" "g1"
"4834" "d0" "i0" "g3"
"4835" "d1" "i0" "g3"
"4836" "d0" "i0" "g2"
"4837" "d0" "i1" "g1"
"4838" "d0" "i0" "g3"
"4839" "d0" "i0" "g2"
"4840" "d1" "i1" "g2"
"4841" "d1" "i1" "g2"
"4842" "d0" "i0" "g1"
"4843" "d0" "i1" "g1"
"4844" "d1" "i0" "g3"
"4845" "d0" "i0" "g1"
"4846" "d0" "i1" "g1"
"4847" "d0" "i0" "g2"
"4848" "d1" "i1" "g3"
"4849" "d0" "i0" "g1"
"4850" "d1" "i1" "g1"
"4851" "d0" "i1" "g1"
"4852" "d0" "i0" "g2"
"4853" "d0" "i1" "g3"
"4854" "d1" "i0" "g3"
"4855" "d0" "i1" "g1"
"4856" "d0" "i0" "g2"
"4857" "d1" "i0" "g2"
"4858" "d0" "i0" "g2"
"4859" "d0" "i1" "g1"
"4860" "d1" "i0" "g3"
"4861" "d0" "i0" "g2"
"4862" "d0" "i0" "g2"
"4863" "d0" "i0" "g1"
"4864" "d0" "i0" "g1"
"4865" "d0" "i0" "g3"
"4866" "d1" "i0" "g2"
"4867" "d0" "i0" "g1"
"4868" "d0" "i1" "g1"
"4869" "d0" "i0" "g2"
"4870" "d1" "i0" "g3"
"4871" "d1" "i0" "g3"
"4872" "d1" "i0" "g3"
"4873" "d1" "i0" "g2"
"4874" "d0" "i1" "g1"
"4875" "d0" "i0" "g2"
"4876" "d1" "i0" "g3"
"4877" "d1" "i1" "g1"
"4878" "d0" "i1" "g1"
"4879" "d0" "i0" "g3"
"4880" "d1" "i1" "g2"
"4881" "d1" "i0" "g2"
"4882" "d0" "i0" "g3"
"4883" "d1" "i0" "g3"
"4884" "d0" "i0" "g2"
"4885" "d0" "i1" "g1"
"4886" "d0" "i0" "g2"
"4887" "d0" "i0" "g3"
"4888" "d1" "i1" "g2"
"4889" "d1" "i0" "g3"
"4890" "d0" "i1" "g1"
"4891" "d1" "i0" "g2"
"4892" "d0" "i1" "g1"
"4893" "d1" "i0" "g3"
"4894" "d0" "i0" "g1"
"4895" "d1" "i0" "g1"
"4896" "d0" "i1" "g1"
"4897" "d0" "i0" "g3"
"4898" "d0" "i0" "g1"
"4899" "d1" "i0" "g2"
"4900" "d0" "i0" "g3"
"4901" "d0" "i0" "g2"
"4902" "d0" "i0" "g3"
"4903" "d0" "i0" "g1"
"4904" "d0" "i0" "g2"
"4905" "d0" "i0" "g3"
"4906" "d0" "i0" "g3"
"4907" "d0" "i1" "g1"
"4908" "d1" "i0" "g3"
"4909" "d0" "i1" "g1"
"4910" "d0" "i0" "g2"
"4911" "d1" "i0" "g3"
"4912" "d1" "i0" "g3"
"4913" "d0" "i0" "g1"
"4914" "d0" "i0" "g3"
"4915" "d0" "i1" "g1"
"4916" "d1" "i0" "g3"
"4917" "d0" "i0" "g2"
"4918" "d1" "i0" "g3"
"4919" "d1" "i0" "g2"
"4920" "d0" "i0" "g1"
"4921" "d1" "i0" "g3"
"4922" "d0" "i1" "g1"
"4923" "d0" "i1" "g1"
"4924" "d0" "i0" "g3"
"4925" "d0" "i0" "g2"
"4926" "d1" "i1" "g1"
"4927" "d0" "i0" "g1"
"4928" "d0" "i1" "g1"
"4929" "d1" "i0" "g2"
"4930" "d1" "i0" "g2"
"4931" "d1" "i0" "g2"
"4932" "d1" "i1" "g1"
"4933" "d0" "i0" "g3"
"4934" "d1" "i0" "g2"
"4935" "d0" "i1" "g1"
"4936" "d0" "i0" "g3"
"4937" "d0" "i0" "g2"
"4938" "d0" "i1" "g1"
"4939" "d1" "i0" "g2"
"4940" "d1" "i0" "g3"
"4941" "d0" "i0" "g2"
"4942" "d0" "i1" "g1"
"4943" "d0" "i0" "g3"
"4944" "d0" "i0" "g2"
"4945" "d0" "i1" "g1"
"4946" "d0" "i0" "g2"
"4947" "d1" "i1" "g1"
"4948" "d1" "i0" "g3"
"4949" "d1" "i0" "g2"
"4950" "d1" "i0" "g3"
"4951" "d0" "i0" "g2"
"4952" "d1" "i0" "g3"
"4953" "d1" "i0" "g2"
"4954" "d0" "i0" "g2"
"4955" "d1" "i0" "g2"
"4956" "d0" "i0" "g3"
"4957" "d0" "i0" "g2"
"4958" "d0" "i0" "g2"
"4959" "d0" "i0" "g2"
"4960" "d1" "i1" "g3"
"4961" "d0" "i0" "g3"
"4962" "d0" "i0" "g2"
"4963" "d1" "i0" "g2"
"4964" "d0" "i0" "g2"
"4965" "d0" "i1" "g1"
"4966" "d0" "i0" "g2"
"4967" "d1" "i0" "g3"
"4968" "d0" "i0" "g2"
"4969" "d0" "i0" "g1"
"4970" "d0" "i0" "g2"
"4971" "d1" "i0" "g2"
"4972" "d0" "i0" "g3"
"4973" "d1" "i0" "g3"
"4974" "d0" "i1" "g1"
"4975" "d1" "i0" "g2"
"4976" "d0" "i0" "g1"
"4977" "d0" "i0" "g3"
"4978" "d0" "i0" "g2"
"4979" "d1" "i1" "g1"
"4980" "d0" "i0" "g2"
"4981" "d1" "i1" "g2"
"4982" "d1" "i0" "g3"
"4983" "d1" "i0" "g3"
"4984" "d1" "i1" "g1"
"4985" "d0" "i0" "g2"
"4986" "d0" "i0" "g3"
"4987" "d0" "i0" "g1"
"4988" "d1" "i0" "g3"
"4989" "d1" "i1" "g2"
"4990" "d1" "i1" "g1"
"4991" "d0" "i1" "g1"
"4992" "d1" "i0" "g2"
"4993" "d0" "i0" "g3"
"4994" "d1" "i0" "g2"
"4995" "d0" "i1" "g1"
"4996" "d0" "i0" "g2"
"4997" "d0" "i0" "g3"
"4998" "d1" "i0" "g3"
"4999" "d0" "i0" "g1"
"5000" "d0" "i1" "g1"
"5001" "d0" "i1" "g1"
"5002" "d0" "i0" "g1"
"5003" "d1" "i0" "g2"
"5004" "d1" "i0" "g3"
"5005" "d1" "i0" "g1"
"5006" "d0" "i1" "g1"
"5007" "d0" "i0" "g2"
"5008" "d0" "i0" "g1"
"5009" "d0" "i1" "g1"
"5010" "d1" "i1" "g3"
"5011" "d0" "i1" "g1"
"5012" "d0" "i0" "g2"
"5013" "d0" "i0" "g2"
"5014" "d0" "i0" "g2"
"5015" "d1" "i0" "g3"
"5016" "d0" "i0" "g2"
"5017" "d1" "i0" "g3"
"5018" "d1" "i0" "g3"
"5019" "d0" "i0" "g1"
"5020" "d0" "i1" "g1"
"5021" "d0" "i0" "g2"
"5022" "d1" "i1" "g2"
"5023" "d1" "i1" "g2"
"5024" "d0" "i0" "g1"
"5025" "d0" "i0" "g3"
"5026" "d1" "i0" "g3"
"5027" "d0" "i0" "g1"
"5028" "d0" "i0" "g2"
"5029" "d0" "i1" "g1"
"5030" "d0" "i0" "g2"
"5031" "d1" "i0" "g3"
"5032" "d0" "i1" "g1"
"5033" "d1" "i1" "g2"
"5034" "d0" "i0" "g1"
"5035" "d0" "i0" "g2"
"5036" "d1" "i0" "g3"
"5037" "d0" "i1" "g1"
"5038" "d1" "i0" "g2"
"5039" "d0" "i0" "g1"
"5040" "d0" "i0" "g1"
"5041" "d0" "i0" "g2"
"5042" "d1" "i0" "g3"
"5043" "d1" "i0" "g3"
"5044" "d1" "i0" "g3"
"5045" "d1" "i0" "g3"
"5046" "d0" "i0" "g3"
"5047" "d0" "i1" "g1"
"5048" "d0" "i0" "g3"
"5049" "d1" "i0" "g3"
"5050" "d0" "i0" "g2"
"5051" "d0" "i1" "g1"
"5052" "d0" "i1" "g1"
"5053" "d0" "i0" "g1"
"5054" "d0" "i0" "g3"
"5055" "d0" "i0" "g3"
"5056" "d1" "i1" "g3"
"5057" "d1" "i0" "g3"
"5058" "d1" "i0" "g3"
"5059" "d1" "i0" "g3"
"5060" "d1" "i0" "g3"
"5061" "d1" "i1" "g3"
"5062" "d1" "i0" "g3"
"5063" "d0" "i0" "g3"
"5064" "d0" "i0" "g3"
"5065" "d0" "i1" "g1"
"5066" "d0" "i0" "g2"
"5067" "d0" "i0" "g2"
"5068" "d1" "i0" "g2"
"5069" "d0" "i0" "g2"
"5070" "d0" "i1" "g2"
"5071" "d1" "i1" "g2"
"5072" "d0" "i0" "g2"
"5073" "d0" "i0" "g1"
"5074" "d1" "i0" "g3"
"5075" "d0" "i1" "g1"
"5076" "d0" "i0" "g3"
"5077" "d0" "i0" "g2"
"5078" "d0" "i0" "g3"
"5079" "d0" "i0" "g3"
"5080" "d0" "i0" "g2"
"5081" "d0" "i0" "g3"
"5082" "d1" "i0" "g2"
"5083" "d0" "i0" "g1"
"5084" "d0" "i0" "g1"
"5085" "d1" "i0" "g1"
"5086" "d0" "i0" "g3"
"5087" "d0" "i1" "g1"
"5088" "d0" "i1" "g1"
"5089" "d1" "i0" "g3"
"5090" "d0" "i0" "g3"
"5091" "d0" "i1" "g1"
"5092" "d1" "i0" "g3"
"5093" "d1" "i0" "g3"
"5094" "d1" "i0" "g3"
"5095" "d1" "i0" "g3"
"5096" "d0" "i0" "g1"
"5097" "d0" "i0" "g1"
"5098" "d0" "i0" "g2"
"5099" "d0" "i1" "g1"
"5100" "d1" "i0" "g3"
"5101" "d1" "i0" "g1"
"5102" "d1" "i0" "g3"
"5103" "d1" "i0" "g2"
"5104" "d0" "i1" "g2"
"5105" "d0" "i1" "g1"
"5106" "d1" "i0" "g3"
"5107" "d1" "i0" "g2"
"5108" "d1" "i0" "g3"
"5109" "d0" "i0" "g2"
"5110" "d1" "i1" "g3"
"5111" "d0" "i0" "g2"
"5112" "d1" "i0" "g3"
"5113" "d1" "i1" "g2"
"5114" "d0" "i1" "g1"
"5115" "d0" "i0" "g2"
"5116" "d0" "i0" "g1"
"5117" "d1" "i0" "g1"
"5118" "d0" "i0" "g2"
"5119" "d0" "i1" "g1"
"5120" "d0" "i0" "g2"
"5121" "d1" "i0" "g3"
"5122" "d1" "i0" "g3"
"5123" "d0" "i1" "g1"
"5124" "d1" "i0" "g3"
"5125" "d0" "i0" "g2"
"5126" "d0" "i0" "g3"
"5127" "d0" "i1" "g1"
"5128" "d0" "i0" "g1"
"5129" "d0" "i0" "g2"
"5130" "d0" "i0" "g3"
"5131" "d0" "i1" "g1"
"5132" "d0" "i1" "g1"
"5133" "d0" "i0" "g1"
"5134" "d0" "i1" "g1"
"5135" "d0" "i0" "g1"
"5136" "d0" "i0" "g3"
"5137" "d0" "i0" "g3"
"5138" "d1" "i0" "g3"
"5139" "d0" "i0" "g2"
"5140" "d0" "i0" "g3"
"5141" "d0" "i1" "g1"
"5142" "d0" "i0" "g3"
"5143" "d0" "i1" "g1"
"5144" "d1" "i0" "g3"
"5145" "d1" "i0" "g3"
"5146" "d1" "i0" "g2"
"5147" "d1" "i1" "g2"
"5148" "d0" "i1" "g1"
"5149" "d0" "i1" "g1"
"5150" "d0" "i0" "g1"
"5151" "d0" "i1" "g2"
"5152" "d0" "i1" "g1"
"5153" "d0" "i1" "g1"
"5154" "d0" "i0" "g3"
"5155" "d0" "i0" "g1"
"5156" "d0" "i0" "g2"
"5157" "d0" "i0" "g2"
"5158" "d0" "i0" "g2"
"5159" "d1" "i0" "g3"
"5160" "d1" "i0" "g3"
"5161" "d0" "i0" "g2"
"5162" "d0" "i1" "g1"
"5163" "d1" "i0" "g3"
"5164" "d0" "i0" "g1"
"5165" "d0" "i0" "g2"
"5166" "d1" "i0" "g3"
"5167" "d0" "i0" "g1"
"5168" "d0" "i0" "g1"
"5169" "d1" "i1" "g1"
"5170" "d0" "i1" "g1"
"5171" "d1" "i0" "g2"
"5172" "d0" "i1" "g1"
"5173" "d0" "i0" "g3"
"5174" "d0" "i0" "g3"
"5175" "d0" "i0" "g1"
"5176" "d0" "i0" "g1"
"5177" "d0" "i0" "g3"
"5178" "d0" "i0" "g2"
"5179" "d0" "i0" "g1"
"5180" "d0" "i0" "g2"
"5181" "d0" "i1" "g1"
"5182" "d1" "i0" "g2"
"5183" "d0" "i0" "g1"
"5184" "d1" "i1" "g1"
"5185" "d1" "i0" "g3"
"5186" "d1" "i0" "g3"
"5187" "d0" "i0" "g1"
"5188" "d1" "i0" "g3"
"5189" "d0" "i0" "g2"
"5190" "d1" "i0" "g3"
"5191" "d1" "i0" "g2"
"5192" "d1" "i0" "g3"
"5193" "d0" "i0" "g2"
"5194" "d0" "i1" "g1"
"5195" "d0" "i0" "g1"
"5196" "d1" "i1" "g2"
"5197" "d0" "i1" "g1"
"5198" "d1" "i0" "g3"
"5199" "d0" "i1" "g1"
"5200" "d0" "i0" "g1"
"5201" "d0" "i0" "g1"
"5202" "d1" "i0" "g3"
"5203" "d1" "i0" "g3"
"5204" "d1" "i0" "g2"
"5205" "d1" "i0" "g3"
"5206" "d0" "i1" "g1"
"5207" "d1" "i0" "g3"
"5208" "d1" "i0" "g2"
"5209" "d1" "i1" "g3"
"5210" "d1" "i0" "g3"
"5211" "d0" "i0" "g2"
"5212" "d0" "i0" "g1"
"5213" "d1" "i0" "g3"
"5214" "d1" "i0" "g3"
"5215" "d0" "i0" "g3"
"5216" "d1" "i1" "g2"
"5217" "d1" "i0" "g3"
"5218" "d0" "i0" "g3"
"5219" "d1" "i0" "g3"
"5220" "d1" "i1" "g1"
"5221" "d0" "i0" "g2"
"5222" "d1" "i0" "g2"
"5223" "d1" "i0" "g3"
"5224" "d1" "i0" "g2"
"5225" "d0" "i0" "g2"
"5226" "d1" "i0" "g3"
"5227" "d1" "i0" "g3"
"5228" "d1" "i0" "g2"
"5229" "d0" "i0" "g3"
"5230" "d1" "i1" "g3"
"5231" "d0" "i1" "g1"
"5232" "d0" "i0" "g1"
"5233" "d0" "i0" "g2"
"5234" "d0" "i0" "g3"
"5235" "d1" "i0" "g3"
"5236" "d1" "i0" "g1"
"5237" "d0" "i0" "g2"
"5238" "d1" "i1" "g1"
"5239" "d0" "i1" "g1"
"5240" "d1" "i0" "g3"
"5241" "d0" "i0" "g2"
"5242" "d0" "i0" "g1"
"5243" "d0" "i0" "g2"
"5244" "d0" "i0" "g2"
"5245" "d0" "i0" "g1"
"5246" "d0" "i0" "g2"
"5247" "d1" "i1" "g1"
"5248" "d1" "i0" "g3"
"5249" "d0" "i0" "g1"
"5250" "d0" "i0" "g3"
"5251" "d0" "i0" "g1"
"5252" "d0" "i1" "g1"
"5253" "d0" "i1" "g1"
"5254" "d0" "i1" "g1"
"5255" "d0" "i1" "g1"
"5256" "d0" "i0" "g2"
"5257" "d1" "i0" "g3"
"5258" "d1" "i1" "g2"
"5259" "d0" "i0" "g1"
"5260" "d0" "i0" "g3"
"5261" "d1" "i0" "g3"
"5262" "d1" "i0" "g1"
"5263" "d1" "i0" "g3"
"5264" "d1" "i1" "g1"
"5265" "d1" "i1" "g1"
"5266" "d0" "i0" "g1"
"5267" "d1" "i0" "g3"
"5268" "d0" "i1" "g1"
"5269" "d1" "i1" "g3"
"5270" "d0" "i0" "g1"
"5271" "d1" "i0" "g2"
"5272" "d1" "i1" "g3"
"5273" "d0" "i0" "g2"
"5274" "d1" "i0" "g3"
"5275" "d0" "i0" "g2"
"5276" "d1" "i0" "g3"
"5277" "d0" "i0" "g1"
"5278" "d0" "i0" "g2"
"5279" "d1" "i0" "g2"
"5280" "d0" "i0" "g1"
"5281" "d0" "i0" "g3"
"5282" "d0" "i0" "g3"
"5283" "d1" "i0" "g2"
"5284" "d1" "i1" "g3"
"5285" "d0" "i0" "g3"
"5286" "d0" "i0" "g3"
"5287" "d1" "i1" "g1"
"5288" "d0" "i1" "g1"
"5289" "d1" "i0" "g3"
"5290" "d1" "i1" "g1"
"5291" "d1" "i1" "g2"
"5292" "d1" "i0" "g2"
"5293" "d0" "i0" "g3"
"5294" "d0" "i1" "g1"
"5295" "d0" "i1" "g2"
"5296" "d1" "i0" "g3"
"5297" "d0" "i0" "g1"
"5298" "d0" "i0" "g3"
"5299" "d0" "i0" "g1"
"5300" "d0" "i0" "g3"
"5301" "d1" "i0" "g3"
"5302" "d0" "i1" "g1"
"5303" "d0" "i1" "g1"
"5304" "d1" "i0" "g3"
"5305" "d1" "i1" "g3"
"5306" "d0" "i0" "g2"
"5307" "d1" "i0" "g3"
"5308" "d1" "i0" "g3"
"5309" "d0" "i0" "g1"
"5310" "d1" "i0" "g2"
"5311" "d0" "i0" "g2"
"5312" "d0" "i1" "g1"
"5313" "d1" "i0" "g2"
"5314" "d0" "i1" "g1"
"5315" "d0" "i0" "g1"
"5316" "d1" "i0" "g3"
"5317" "d1" "i0" "g3"
"5318" "d0" "i0" "g1"
"5319" "d0" "i0" "g1"
"5320" "d0" "i0" "g1"
"5321" "d0" "i0" "g3"
"5322" "d1" "i0" "g2"
"5323" "d1" "i0" "g3"
"5324" "d0" "i0" "g3"
"5325" "d0" "i0" "g1"
"5326" "d0" "i1" "g1"
"5327" "d0" "i0" "g1"
"5328" "d0" "i0" "g3"
"5329" "d1" "i0" "g2"
"5330" "d1" "i0" "g3"
"5331" "d0" "i0" "g1"
"5332" "d0" "i0" "g3"
"5333" "d1" "i0" "g2"
"5334" "d0" "i0" "g1"
"5335" "d0" "i1" "g1"
"5336" "d1" "i0" "g3"
"5337" "d1" "i1" "g2"
"5338" "d0" "i0" "g1"
"5339" "d0" "i0" "g1"
"5340" "d1" "i0" "g2"
"5341" "d0" "i0" "g3"
"5342" "d1" "i1" "g1"
"5343" "d1" "i0" "g2"
"5344" "d0" "i0" "g1"
"5345" "d0" "i0" "g1"
"5346" "d1" "i0" "g3"
"5347" "d1" "i0" "g3"
"5348" "d0" "i0" "g1"
"5349" "d0" "i0" "g2"
"5350" "d0" "i0" "g1"
"5351" "d0" "i0" "g1"
"5352" "d1" "i0" "g3"
"5353" "d0" "i0" "g2"
"5354" "d0" "i0" "g1"
"5355" "d1" "i0" "g3"
"5356" "d0" "i1" "g1"
"5357" "d1" "i1" "g1"
"5358" "d1" "i0" "g3"
"5359" "d0" "i1" "g1"
"5360" "d0" "i0" "g1"
"5361" "d0" "i1" "g1"
"5362" "d1" "i1" "g1"
"5363" "d1" "i1" "g1"
"5364" "d0" "i0" "g2"
"5365" "d1" "i0" "g3"
"5366" "d0" "i0" "g2"
"5367" "d0" "i1" "g1"
"5368" "d1" "i1" "g2"
"5369" "d1" "i0" "g2"
"5370" "d0" "i0" "g2"
"5371" "d1" "i0" "g3"
"5372" "d1" "i0" "g3"
"5373" "d0" "i1" "g1"
"5374" "d0" "i0" "g1"
"5375" "d0" "i0" "g2"
"5376" "d1" "i1" "g1"
"5377" "d0" "i0" "g2"
"5378" "d1" "i1" "g1"
"5379" "d1" "i0" "g3"
"5380" "d0" "i1" "g1"
"5381" "d1" "i0" "g3"
"5382" "d1" "i0" "g3"
"5383" "d0" "i0" "g1"
"5384" "d0" "i0" "g2"
"5385" "d0" "i0" "g1"
"5386" "d0" "i1" "g1"
"5387" "d1" "i0" "g3"
"5388" "d1" "i0" "g2"
"5389" "d1" "i1" "g2"
"5390" "d1" "i1" "g3"
"5391" "d0" "i0" "g3"
"5392" "d0" "i0" "g2"
"5393" "d0" "i0" "g1"
"5394" "d1" "i0" "g2"
"5395" "d1" "i1" "g1"
"5396" "d0" "i0" "g3"
"5397" "d1" "i0" "g3"
"5398" "d0" "i0" "g2"
"5399" "d0" "i0" "g2"
"5400" "d1" "i0" "g3"
"5401" "d0" "i0" "g2"
"5402" "d1" "i1" "g2"
"5403" "d0" "i0" "g1"
"5404" "d1" "i1" "g1"
"5405" "d1" "i0" "g2"
"5406" "d1" "i0" "g2"
"5407" "d0" "i0" "g1"
"5408" "d0" "i0" "g1"
"5409" "d1" "i1" "g3"
"5410" "d0" "i1" "g1"
"5411" "d1" "i0" "g3"
"5412" "d1" "i1" "g2"
"5413" "d0" "i0" "g1"
"5414" "d0" "i0" "g2"
"5415" "d0" "i0" "g2"
"5416" "d0" "i1" "g1"
"5417" "d0" "i0" "g3"
"5418" "d1" "i0" "g3"
"5419" "d1" "i0" "g3"
"5420" "d1" "i0" "g1"
"5421" "d1" "i0" "g2"
"5422" "d1" "i0" "g3"
"5423" "d1" "i0" "g1"
"5424" "d0" "i1" "g1"
"5425" "d0" "i0" "g3"
"5426" "d0" "i0" "g3"
"5427" "d0" "i0" "g1"
"5428" "d0" "i0" "g2"
"5429" "d1" "i0" "g3"
"5430" "d1" "i0" "g1"
"5431" "d0" "i0" "g2"
"5432" "d1" "i0" "g3"
"5433" "d0" "i0" "g1"
"5434" "d0" "i1" "g1"
"5435" "d1" "i0" "g3"
"5436" "d0" "i1" "g1"
"5437" "d1" "i0" "g3"
"5438" "d1" "i0" "g3"
"5439" "d0" "i0" "g1"
"5440" "d0" "i0" "g1"
"5441" "d0" "i0" "g3"
"5442" "d0" "i1" "g1"
"5443" "d1" "i0" "g3"
"5444" "d0" "i0" "g1"
"5445" "d0" "i0" "g3"
"5446" "d0" "i0" "g2"
"5447" "d0" "i1" "g1"
"5448" "d0" "i0" "g3"
"5449" "d0" "i1" "g1"
"5450" "d0" "i0" "g3"
"5451" "d0" "i0" "g3"
"5452" "d0" "i0" "g2"
"5453" "d1" "i0" "g3"
"5454" "d0" "i1" "g1"
"5455" "d0" "i0" "g2"
"5456" "d1" "i0" "g3"
"5457" "d1" "i0" "g2"
"5458" "d0" "i0" "g1"
"5459" "d0" "i0" "g2"
"5460" "d0" "i0" "g2"
"5461" "d0" "i1" "g1"
"5462" "d0" "i1" "g1"
"5463" "d1" "i0" "g2"
"5464" "d0" "i0" "g3"
"5465" "d0" "i0" "g3"
"5466" "d1" "i1" "g2"
"5467" "d1" "i0" "g3"
"5468" "d0" "i1" "g1"
"5469" "d0" "i0" "g1"
"5470" "d0" "i0" "g2"
"5471" "d0" "i0" "g2"
"5472" "d1" "i0" "g3"
"5473" "d1" "i0" "g3"
"5474" "d0" "i0" "g1"
"5475" "d0" "i0" "g2"
"5476" "d0" "i1" "g1"
"5477" "d1" "i0" "g3"
"5478" "d1" "i0" "g3"
"5479" "d0" "i0" "g2"
"5480" "d1" "i0" "g3"
"5481" "d0" "i0" "g2"
"5482" "d0" "i0" "g3"
"5483" "d0" "i1" "g1"
"5484" "d0" "i0" "g1"
"5485" "d1" "i1" "g1"
"5486" "d1" "i0" "g3"
"5487" "d0" "i0" "g1"
"5488" "d0" "i0" "g2"
"5489" "d1" "i0" "g3"
"5490" "d0" "i0" "g1"
"5491" "d0" "i1" "g1"
"5492" "d1" "i0" "g3"
"5493" "d0" "i0" "g2"
"5494" "d0" "i0" "g2"
"5495" "d1" "i0" "g3"
"5496" "d0" "i1" "g1"
"5497" "d0" "i0" "g1"
"5498" "d1" "i0" "g3"
"5499" "d0" "i0" "g3"
"5500" "d1" "i0" "g3"
"5501" "d1" "i1" "g1"
"5502" "d0" "i0" "g2"
"5503" "d0" "i1" "g3"
"5504" "d1" "i0" "g3"
"5505" "d1" "i0" "g2"
"5506" "d0" "i1" "g1"
"5507" "d0" "i1" "g1"
"5508" "d1" "i0" "g3"
"5509" "d1" "i0" "g3"
"5510" "d0" "i0" "g1"
"5511" "d0" "i0" "g3"
"5512" "d0" "i0" "g1"
"5513" "d1" "i0" "g3"
"5514" "d1" "i0" "g3"
"5515" "d0" "i0" "g2"
"5516" "d0" "i0" "g3"
"5517" "d1" "i0" "g3"
"5518" "d0" "i0" "g2"
"5519" "d1" "i1" "g3"
"5520" "d0" "i1" "g1"
"5521" "d0" "i1" "g2"
"5522" "d0" "i1" "g1"
"5523" "d0" "i0" "g3"
"5524" "d1" "i0" "g2"
"5525" "d0" "i0" "g2"
"5526" "d0" "i0" "g1"
"5527" "d1" "i0" "g3"
"5528" "d0" "i0" "g3"
"5529" "d0" "i0" "g3"
"5530" "d0" "i0" "g2"
"5531" "d1" "i1" "g2"
"5532" "d1" "i0" "g3"
"5533" "d1" "i0" "g3"
"5534" "d1" "i0" "g1"
"5535" "d0" "i0" "g3"
"5536" "d0" "i0" "g3"
"5537" "d0" "i1" "g1"
"5538" "d1" "i0" "g2"
"5539" "d1" "i0" "g3"
"5540" "d1" "i0" "g3"
"5541" "d0" "i0" "g2"
"5542" "d1" "i0" "g1"
"5543" "d0" "i1" "g1"
"5544" "d1" "i1" "g1"
"5545" "d1" "i1" "g2"
"5546" "d0" "i1" "g1"
"5547" "d1" "i0" "g3"
"5548" "d0" "i0" "g1"
"5549" "d0" "i1" "g1"
"5550" "d0" "i1" "g1"
"5551" "d0" "i0" "g1"
"5552" "d1" "i0" "g2"
"5553" "d0" "i0" "g1"
"5554" "d0" "i0" "g2"
"5555" "d0" "i0" "g1"
"5556" "d1" "i0" "g3"
"5557" "d0" "i0" "g2"
"5558" "d1" "i0" "g2"
"5559" "d1" "i0" "g3"
"5560" "d1" "i1" "g3"
"5561" "d1" "i0" "g2"
"5562" "d1" "i0" "g2"
"5563" "d1" "i0" "g2"
"5564" "d1" "i1" "g1"
"5565" "d0" "i0" "g2"
"5566" "d0" "i1" "g1"
"5567" "d0" "i1" "g1"
"5568" "d1" "i0" "g3"
"5569" "d0" "i0" "g1"
"5570" "d0" "i1" "g1"
"5571" "d0" "i0" "g2"
"5572" "d1" "i0" "g3"
"5573" "d1" "i1" "g3"
"5574" "d1" "i0" "g3"
"5575" "d0" "i0" "g2"
"5576" "d0" "i1" "g1"
"5577" "d1" "i0" "g2"
"5578" "d0" "i0" "g1"
"5579" "d1" "i0" "g2"
"5580" "d1" "i0" "g3"
"5581" "d1" "i1" "g1"
"5582" "d0" "i0" "g1"
"5583" "d0" "i0" "g2"
"5584" "d1" "i0" "g3"
"5585" "d0" "i0" "g3"
